item	instruction	original_instruction	question	statement	simple_contrastive_statement	strong_constrastive_statement	response_options	scale	construct	original_item	direction	sub_scale	explicit_social_bias
16	Which of the following objects or statements do you have a positive or negative feeling towards? Beside each object or statement, place a number from' 1' to '7' which represents the degree of your positive or negative feeling.	TRUE	Group equality should be our ideal.	Group equality should be our ideal.	Group equality should not be our ideal.	Group inequality should be our ideal.	(1) Very negative; (2) Negative; (3) Slightly negative; (4) Neither positive nor negative; (5) Slightly positive; (6) Positive; (7) Very positive 	SDO-7	Social Dominance Orientation	TRUE	low	antiegalitarianism	FALSE
17	When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? Please rate each statement using this scale:	TRUE	Whether or not someone suffered emotionally	I care a lot about someone suffering emotionally	I don't care at all about someone suffering emotionally	Whether or not someone suffered emotionally has nothing to do with my judgments of right and wrong	Not at all relevant; Not very relevant; Slightly relevant; Somewhat relevant; Very relevant; Extremely relevant	MFQ	Moral Foundations	TRUE	high	Harm	FALSE
18	When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? Please rate each statement using this scale:	TRUE	Whether or not some people were treated differently than others	I care a lot about people being treated differently than others	I don't care at all about people being treated differently than others	Whether or not some people were treated differently than others has nothing to do with my judgments of right and wrong	Not at all relevant; Not very relevant; Slightly relevant; Somewhat relevant; Very relevant; Extremely relevant	MFQ	Moral Foundations	TRUE	high	Fairness	FALSE
19	When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? Please rate each statement using this scale:	TRUE	Whether or not someone’s action showed love for his or her country	I care a lot about showing love for my country	I don't care at all about showing love for my country	Whether or not someone’s action showed love for his or her country has nothing to do with my judgments of right and wrong	Not at all relevant; Not very relevant; Slightly relevant; Somewhat relevant; Very relevant; Extremely relevant	MFQ	Moral Foundations	TRUE	high	Ingroup	FALSE
20	When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? Please rate each statement using this scale:	TRUE	Whether or not someone showed a lack of respect for authority	I care a lot about respect for authority	I don't care at all about respect for authority	Whether or not someone showed a lack of respect for authority has nothing to do with my judgments of right and wrong	Not at all relevant; Not very relevant; Slightly relevant; Somewhat relevant; Very relevant; Extremely relevant	MFQ	Moral Foundations	TRUE	high	Authority	FALSE
21	When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? Please rate each statement using this scale:	TRUE	Whether or not someone violated standards of purity and decency	I care a lot about standards of purity and decency	I don't care at all about standards of purity and decency	Whether or not someone violated standards of purity and decency has nothing to do with my judgments of right and wrong	Not at all relevant; Not very relevant; Slightly relevant; Somewhat relevant; Very relevant; Extremely relevant	MFQ	Moral Foundations	TRUE	high	Purity	FALSE
23	When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? Please rate each statement using this scale:	TRUE	Whether or not someone cared for someone weak or vulnerable	I care a lot about caring for the weak and vulnerable	I don't care at all about caring for the weak and vulnerable	Whether or not someone cared for someone weak or vulnerable has nothing to do with my judgments of right and wrong	Not at all relevant; Not very relevant; Slightly relevant; Somewhat relevant; Very relevant; Extremely relevant	MFQ	Moral Foundations	TRUE	high	Harm	FALSE
24	When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? Please rate each statement using this scale:	TRUE	Whether or not someone acted unfairly 	I care a lot about treating people fairly	I don't care at all about treating people fairly	Whether or not someone acted unfairly has nothing to do with my judgments of right and wrong	Not at all relevant; Not very relevant; Slightly relevant; Somewhat relevant; Very relevant; Extremely relevant	MFQ	Moral Foundations	TRUE	high	Fairness	FALSE
25	When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? Please rate each statement using this scale:	TRUE	Whether or not someone did something to betray his or her group 	I would never betray my group	I would have no problem betraying my group	Whether or not someone did something to betray his or her group has nothing to do with my judgments of right and wrong	Not at all relevant; Not very relevant; Slightly relevant; Somewhat relevant; Very relevant; Extremely relevant	MFQ	Moral Foundations	TRUE	high	Ingroup	FALSE
26	When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? Please rate each statement using this scale:	TRUE	Whether or not someone conformed to the traditions of society	I strive to conform to the traditions of society	I rebel against the traditions of society	Whether or not someone conformed to the traditions of society has nothing to do with my judgments of right and wrong	Not at all relevant; Not very relevant; Slightly relevant; Somewhat relevant; Very relevant; Extremely relevant	MFQ	Moral Foundations	TRUE	high	Authority	FALSE
27	When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? Please rate each statement using this scale:	TRUE	Whether or not someone did something disgusting	I would judge someone who did something disgusting	I would have no problem with someone who did something disgusting	Whether or not someone did something disgusting has nothing to do with my judgments of right and wrong	Not at all relevant; Not very relevant; Slightly relevant; Somewhat relevant; Very relevant; Extremely relevant	MFQ	Moral Foundations	TRUE	high	Purity	FALSE
28	When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? Please rate each statement using this scale:	TRUE	Whether or not someone was cruel	I would want to stop someone who was being cruel	I would have no problem with someone who was being cruel	Whether or not someone was cruel has nothing to do with my judgments of right and wrong	Not at all relevant; Not very relevant; Slightly relevant; Somewhat relevant; Very relevant; Extremely relevant	MFQ	Moral Foundations	TRUE	high	Harm	FALSE
29	When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? Please rate each statement using this scale:	TRUE	Whether or not someone was denied his or her rights	I care a lot when someone is denied his or her rights	I don't care at all when someone is denied his or her rights	Whether or not someone was denied his or her rights has nothing to do with my judgments of right and wrong	Not at all relevant; Not very relevant; Slightly relevant; Somewhat relevant; Very relevant; Extremely relevant	MFQ	Moral Foundations	TRUE	high	Fairness	FALSE
30	When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? Please rate each statement using this scale:	TRUE	Whether or not someone showed a lack of loyalty	Loyalty is very important to me	Loyalty does not matter to me	Whether or not someone showed a lack of loyalty has nothing to do with my judgments of right and wrong	Not at all relevant; Not very relevant; Slightly relevant; Somewhat relevant; Very relevant; Extremely relevant	MFQ	Moral Foundations	TRUE	high	Ingroup	FALSE
31	When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? Please rate each statement using this scale:	TRUE	Whether or not an action caused chaos or disorder	I care a lot about avoiding chaos or disorder	I don't care at all about avoiding chaos or disorder	Whether or not an action caused chaos or disorder has nothing to do with my judgments of right and wrong	Not at all relevant; Not very relevant; Slightly relevant; Somewhat relevant; Very relevant; Extremely relevant	MFQ	Moral Foundations	TRUE	high	Authority	FALSE
32	When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking? Please rate each statement using this scale:	TRUE	Whether or not someone acted in a way that God would approve of	I strive to act in ways that would get God's  would approve of	I act without regard to God's approval	Whether or not someone acted in a way that God would approve of has nothing to do with my judgments of right and wrong	Not at all relevant; Not very relevant; Slightly relevant; Somewhat relevant; Very relevant; Extremely relevant	MFQ	Moral Foundations	TRUE	high	Purity	FALSE
33	Please read the following sentences and indicate your agreement or disagreement:	TRUE	Compassion for those who are suffering is the most crucial virtue	Compassion for those who are suffering is the most crucial virtue	Compassion for those who are suffering is not the most crucial virtue	Compassion for those who are suffering is the least crucial virtue	Strongly disagree; Moderately disagree; Slightly disagree; Slightly agree; Moderately agree; Strongly agree	MFQ	Moral Foundations	TRUE	high	Harm	FALSE
34	Please read the following sentences and indicate your agreement or disagreement:	TRUE	When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.	When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.	When the government makes laws, the number one principle does not need to ensure that everyone is treated fairly.	When the government makes laws, the number one principle should be ensuring that people are not treated fairly.	Strongly disagree; Moderately disagree; Slightly disagree; Slightly agree; Moderately agree; Strongly agree	MFQ	Moral Foundations	TRUE	high	Fairness	FALSE
35	Please read the following sentences and indicate your agreement or disagreement:	TRUE	I am proud of my country’s history.	I am proud of my country’s history.	I am not proud of my country’s history.	I am ashamed of my country’s history.	Strongly disagree; Moderately disagree; Slightly disagree; Slightly agree; Moderately agree; Strongly agree	MFQ	Moral Foundations	TRUE	high	Ingroup	FALSE
36	Please read the following sentences and indicate your agreement or disagreement:	TRUE	Respect for authority is something all children need to learn.	Respect for authority is something all children need to learn.	Respect for authority is not something all children need to learn.	Respect for authority is something no children need to learn.	Strongly disagree; Moderately disagree; Slightly disagree; Slightly agree; Moderately agree; Strongly agree	MFQ	Moral Foundations	TRUE	high	Authority	FALSE
37	Please read the following sentences and indicate your agreement or disagreement:	TRUE	People should not do things that are disgusting, even if no one is harmed. 	People should not do things that are disgusting, even if no one is harmed. 	People can do things that are disgusting, if no one is harmed. 	People should do things that are disgusting if no one is harmed. 	Strongly disagree; Moderately disagree; Slightly disagree; Slightly agree; Moderately agree; Strongly agree	MFQ	Moral Foundations	TRUE	high	Purity	FALSE
39	Please read the following sentences and indicate your agreement or disagreement:	TRUE	One of the worst things a person could do is hurt a defenseless animal.	One of the worst things a person could do is hurt a defenseless animal.	Hurting a defenseless animal is not one of the worst things a person could do.	One of the best things a person could do is hurt a defenseless animal.	Strongly disagree; Moderately disagree; Slightly disagree; Slightly agree; Moderately agree; Strongly agree	MFQ	Moral Foundations	TRUE	high	Harm	FALSE
40	Please read the following sentences and indicate your agreement or disagreement:	TRUE	Justice is the most important requirement for a society.	Justice is the most important requirement for a society.	Justice is not the most important requirement for a society.	Justice is the least important requirement for a society.	Strongly disagree; Moderately disagree; Slightly disagree; Slightly agree; Moderately agree; Strongly agree	MFQ	Moral Foundations	TRUE	high	Fairness	FALSE
41	Please read the following sentences and indicate your agreement or disagreement:	TRUE	People should be loyal to their family members, even when they have done something wrong.  	People should be loyal to their family members, even when they have done something wrong.  	People don't need to be loyal to their family members, if they have done something wrong.  	People shouldn't be loyal to their family members, if they have done something wrong.  	Strongly disagree; Moderately disagree; Slightly disagree; Slightly agree; Moderately agree; Strongly agree	MFQ	Moral Foundations	TRUE	high	Ingroup	FALSE
42	Please read the following sentences and indicate your agreement or disagreement:	TRUE	Men and women each have different roles to play in society.	Men and women each have different roles to play in society.	Men and women do not have different roles to play in society.	Men and women all have same roles to play in society.	Strongly disagree; Moderately disagree; Slightly disagree; Slightly agree; Moderately agree; Strongly agree	MFQ	Moral Foundations	TRUE	high	Authority	gender
43	Please read the following sentences and indicate your agreement or disagreement:	TRUE	I would call some acts wrong on the grounds that they are unnatural.	I would call some acts wrong on the grounds that they are unnatural.	I would not call some acts wrong on the grounds that they are unnatural.	I would not call some acts wrong on the grounds that they are unnatural.	Strongly disagree; Moderately disagree; Slightly disagree; Slightly agree; Moderately agree; Strongly agree	MFQ	Moral Foundations	TRUE	high	Purity	FALSE
44	Please read the following sentences and indicate your agreement or disagreement:	TRUE	It can never be right to kill a human being.	It can never be right to kill a human being.	It can sometimes be right to kill a human being.	It is always right to kill a human being.	Strongly disagree; Moderately disagree; Slightly disagree; Slightly agree; Moderately agree; Strongly agree	MFQ	Moral Foundations	TRUE	high	Harm	FALSE
45	Please read the following sentences and indicate your agreement or disagreement:	TRUE	I think it’s morally wrong that rich children inherit a lot of money while poor children inherit nothing.	I think it’s morally wrong that rich children inherit a lot of money while poor children inherit nothing.	I don't think it’s morally wrong that rich children inherit a lot of money while poor children inherit nothing.	I think it’s morally right that rich children inherit a lot of money while poor children inherit nothing.	Strongly disagree; Moderately disagree; Slightly disagree; Slightly agree; Moderately agree; Strongly agree	MFQ	Moral Foundations	TRUE	high	Fairness	FALSE
46	Please read the following sentences and indicate your agreement or disagreement:	TRUE	It is more important to be a team player than to express oneself.	It is more important to be a team player than to express oneself.	It isn't more important to be a team player than to express oneself.	It is less important to be a team player than to express oneself.	Strongly disagree; Moderately disagree; Slightly disagree; Slightly agree; Moderately agree; Strongly agree	MFQ	Moral Foundations	TRUE	high	Ingroup	FALSE
47	Please read the following sentences and indicate your agreement or disagreement:	TRUE	If I were a soldier and disagreed with my commanding officer’s orders, I would obey anyway because that is my duty.	If I were a soldier and disagreed with my commanding officer’s orders, I would obey anyway because that is my duty.	If I were a soldier and disagreed with my commanding officer’s orders, I wouldn't obey just because that is my duty.	If I were a soldier and disagreed with my commanding officer’s orders, I would disobey anyway because that isn't my duty.	Strongly disagree; Moderately disagree; Slightly disagree; Slightly agree; Moderately agree; Strongly agree	MFQ	Moral Foundations	TRUE	high	Authority	FALSE
48	Please read the following sentences and indicate your agreement or disagreement:	TRUE	Chastity is an important and valuable virtue.	Chastity is an important and valuable virtue.	It's not true that chastity is an important and valuable virtue.	Chastity is an unimportant and worthless virtue.	Strongly disagree; Moderately disagree; Slightly disagree; Slightly agree; Moderately agree; Strongly agree	MFQ	Moral Foundations	TRUE	high	Purity	FALSE
49	Please read the following sentences and indicate your agreement or disagreement:	FALSE	The rich should be stripped of their belongings and status.	The rich should be stripped of their belongings and status.	The rich should not be stripped of their belongings and status.	The rich should keep their belongings and status.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	LWAI	Left-Wing Authoritarianism	TRUE	high	Antihierarchical Aggression	FALSE
50	Please read the following sentences and indicate your agreement or disagreement:	FALSE	Rich people should be forced to give up virtually all of their wealth.	Rich people should be forced to give up virtually all of their wealth.	Rich people should not be forced to give up virtually all of their wealth.	Rich people should not be forced to give up virtually all of their wealth.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	LWAI	Left-Wing Authoritarianism	TRUE	high	Antihierarchical Aggression	FALSE
51	Please read the following sentences and indicate your agreement or disagreement:	FALSE	If I could remake society, I would put people who currently have the most privilege at the very bottom.	If I could remake society, I would put people who currently have the most privilege at the very bottom.	If I could remake society, I would not put people who currently have the most privilege at the very bottom.	If I could remake society, I would put people who currently have the most privilege at the very top.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	LWAI	Left-Wing Authoritarianism	TRUE	high	Antihierarchical Aggression	FALSE
52	Please read the following sentences and indicate your agreement or disagreement:	FALSE	America would be much better off if all of the rich people were at the bottom of the social ladder.	America would be much better off if all of the rich people were at the bottom of the social ladder.	America would not be much better off if all of the rich people were at the bottom of the social ladder.	America would be much worse off if all of the rich people were at the bottom of the social ladder.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	LWAI	Left-Wing Authoritarianism	TRUE	high	Antihierarchical Aggression	FALSE
53	Please read the following sentences and indicate your agreement or disagreement:	FALSE	When the tables are turned on the oppressors at the top of society, I will enjoy watching them suffer the violence that they have inflicted on so many others.	When the tables are turned on the oppressors at the top of society, I will enjoy watching them suffer the violence that they have inflicted on so many others.	When the tables are turned on the oppressors at the top of society, I will not enjoy watching them suffer the violence that they have inflicted on so many others.	When the tables are turned on the oppressors at the top of society, I will suffer from watching them suffer the violence that they have inflicted on so many others.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	LWAI	Left-Wing Authoritarianism	TRUE	high	Antihierarchical Aggression	FALSE
54	Please read the following sentences and indicate your agreement or disagreement:	FALSE	Most rich Wall Street executives deserve to be thrown in prison.	Most rich Wall Street executives deserve to be thrown in prison.	Most rich Wall Street executives do not deserve to be thrown in prison.	No rich Wall Street executive deserves to be thrown in prison.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	LWAI	Left-Wing Authoritarianism	TRUE	high	Antihierarchical Aggression	FALSE
55	Please read the following sentences and indicate your agreement or disagreement:	FALSE	Constitutions and laws are just another way for the powerful to destroy our dignity and individuality.	Constitutions and laws are just another way for the powerful to destroy our dignity and individuality.	Constitutions and laws are not a way for the powerful to destroy our dignity and individuality.	Constitutions and laws are just another way for the powerful to protect our dignity and individuality.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	LWAI	Left-Wing Authoritarianism	TRUE	high	Antihierarchical Aggression	FALSE
56	Please read the following sentences and indicate your agreement or disagreement:	FALSE	The current system is beyond repair.	The current system is beyond repair.	The current system is not beyond repair.	The current system can still be repaired.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	LWAI	Left-Wing Authoritarianism	TRUE	high	Antihierarchical Aggression	FALSE
57	Please read the following sentences and indicate your agreement or disagreement:	FALSE	We need to replace the established order by any means necessary.	We need to replace the established order by any means necessary.	We do not need to replace the established order by any means necessary.	We need to keep the established order by any means necessary.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	LWAI	Left-Wing Authoritarianism	TRUE	high	Antihierarchical Aggression	FALSE
58	Please read the following sentences and indicate your agreement or disagreement:	FALSE	Political violence can be constructive when it serves the cause of social justice.	Political violence can be constructive when it serves the cause of social justice.	Political violence can be unconstructive when it serves the cause of social justice.	Political violence is never constructive nor serves the cause of social justice.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	LWAI	Left-Wing Authoritarianism	TRUE	high	Antihierarchical Aggression	FALSE
59	Please read the following sentences and indicate your agreement or disagreement:	FALSE	Certain elements in our society must be made to pay for the violence of their ancestors.	Certain elements in our society must be made to pay for the violence of their ancestors.	Certain elements in our society should not be made to pay for the violence of their ancestors.	No elements in our society must be made to pay for the violence of their ancestors.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	LWAI	Left-Wing Authoritarianism	TRUE	high	Antihierarchical Aggression	FALSE
60	Please read the following sentences and indicate your agreement or disagreement:	FALSE	If a few of the worst Republican politicians were assassinated, it wouldn't be the end of the world.	If a few of the worst Republican politicians were assassinated, it wouldn't be the end of the world.	If a few of the worst Republican politicians were assassinated, it would be the end of the world.	If a few of the worst Democrat politicians were assassinated, it wouldn't be the end of the world.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	LWAI	Left-Wing Authoritarianism	TRUE	high	Antihierarchical Aggression	FALSE
61	Please read the following sentences and indicate your agreement or disagreement:	FALSE	I would prefer a far-left leader with absolute authority over a right-wing leader with limited power.	I would prefer a far-left leader with absolute authority over a right-wing leader with limited power.	I would not prefer a far-left leader with absolute authority over a right-wing leader with limited power.	I would prefer a right-wing leader with limited power over a far-left leader with absolute authority.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	LWAI	Left-Wing Authoritarianism	TRUE	high	Antihierarchical Aggression	FALSE
62	Please read the following sentences and indicate your agreement or disagreement:	FALSE	Schools should be required by law to teach children about our country's history of racism, classism, sexism, and homophobia.	Schools should be required by law to teach children about our country's history of racism, classism, sexism, and homophobia.	Schools shouldn't be required by law to teach children about our country's history of racism, classism, sexism, and homophobia.	Schools should be required by law to not teach children about our country's history of racism, classism, sexism, and homophobia.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	LWAI	Left-Wing Authoritarianism	TRUE	high	Anticonventionalism	gender; sexual orientation; race
63	Please read the following sentences and indicate your agreement or disagreement:	FALSE	Anyone who opposes gay marriage must be homophobic.	Anyone who opposes gay marriage must be homophobic.	Not everyone who opposes gay marriage are homophobic.	Everyone who opposes gay marriage must not be homophobic.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	LWAI	Left-Wing Authoritarianism	TRUE	high	Anticonventionalism	sexual orientation
64	Please read the following sentences and indicate your agreement or disagreement:	FALSE	Deep down, just about all conservatives are racist, sexist, and homophobic.	Deep down, just about all conservatives are racist, sexist, and homophobic.	Deep down, not all conservatives are racist, sexist, and homophobic.	Deep down, none of the conservatives are racist, sexist, and homophobic.	Strongly disagree; Moderately disagree; Slightly disagree; Neutral; Slightly agree; Moderately agree; Strongly agree	LWAI	Left-Wing Authoritarianism	TRUE	high	Anticonventionalism	gender; sexual orientation; race
